scrutin_id,legislature,numero,date_scrutin,titre,objet,code_type_vote,libelle_type_vote,sort_code,sort_libelle,mode_publication,nombre_votants,suffrages_exprimes,pour,contre,abstentions,non_votants,demandeur,organe_ref,session_ref,seance_ref
VTANR5L14V1146,14,1146,2015-07-02,l'amendement n° 246 de M. Saddier et les amendements identiques à l'article 18 du projet de loi portant nouvelle organisation territoriale de la République (2ème lecture).,l'amendement n° 246 de M. Saddier et les amendements identiques à l'article 18 du projet de loi portant nouvelle organisation territoriale de la République (2ème lecture).,SPO,scrutin public ordinaire,rejeté,L'Assemblée nationale n'a pas adopté,DecompteNominatif,32,32,11,21,0,4,Président du groupe Les Républicains,PO644420,SCR5A2015E1,RUANR5L14S2015IDS19384
VTANR5L14V1147,14,1147,2015-07-02,l'amendement n° 120 de M. Gaymard et les amendements identiques à l'article 18 du projet de loi portant nouvelle organisation territoriale de la République (2ème lecture).,l'amendement n° 120 de M. Gaymard et les amendements identiques à l'article 18 du projet de loi portant nouvelle organisation territoriale de la République (2ème lecture).,SPO,scrutin public ordinaire,rejeté,L'Assemblée nationale n'a pas adopté,DecompteNominatif,30,30,12,18,0,4,Président du groupe Les Républicains,PO644420,SCR5A2015E1,RUANR5L14S2015IDS19384
VTANR5L14V1148,14,1148,2015-07-02,l'amendement n° 1088 (rect.) de Mme Appéré à l'article 22 octies du projet de loi portant nouvelle organisation territoriale de la République (2ème lecture).,l'amendement n° 1088 (rect.) de Mme Appéré à l'article 22 octies du projet de loi portant nouvelle organisation territoriale de la République (2ème lecture).,SPO,scrutin public ordinaire,adopté,l'Assemblée nationale a adopté,DecompteNominatif,27,26,16,10,1,4,Président du groupe Les Républicains,PO644420,SCR5A2015E1,RUANR5L14S2015IDS19383
VTANR5L14V1149,14,1149,2015-07-02,l'amendement n° 423 (rect.) de M. Carrez et l'amendement identique à l'article 17 septdecies du projet de loi portant nouvelle organisation territoriale de la République (2ème lecture).,l'amendement n° 423 (rect.) de M. Carrez et l'amendement identique à l'article 17 septdecies du projet de loi portant nouvelle organisation territoriale de la République (2ème lecture).,SPO,scrutin public ordinaire,rejeté,L'Assemblée nationale n'a pas adopté,DecompteNominatif,29,28,13,15,1,4,Président du groupe Les Républicains,PO644420,SCR5A2015E1,RUANR5L14S2015IDS19385
VTANR5L14V1150,14,1150,2015-07-02,l'amendement n° 118 de M. Gaymard et les amendements identiques à l'article 17 septdecies du projet de loi portant nouvelle organisation territoriale de la République (2ème lecture).,l'amendement n° 118 de M. Gaymard et les amendements identiques à l'article 17 septdecies du projet de loi portant nouvelle organisation territoriale de la République (2ème lecture).,SPO,scrutin public ordinaire,adopté,l'Assemblée nationale a adopté,DecompteNominatif,35,34,24,10,1,4,Président du groupe Les Républicains,PO644420,SCR5A2015E1,RUANR5L14S2015IDS19385
VTANR5L14V1151,14,1151,2015-07-02,l'amendement n° 238 de M. Kossowski et les amendements identiques à l'article 17 septdecies du projet de loi portant nouvelle organisation territoriale de la République (2ème lecture).,l'amendement n° 238 de M. Kossowski et les amendements identiques à l'article 17 septdecies du projet de loi portant nouvelle organisation territoriale de la République (2ème lecture).,SPO,scrutin public ordinaire,adopté,l'Assemblée nationale a adopté,DecompteNominatif,31,29,28,1,2,4,Président du groupe Les Républicains,PO644420,SCR5A2015E1,RUANR5L14S2015IDS19385
VTANR5L14V1152,14,1152,2015-07-07,l'amendement n° 279 du Gouvernement à l'article 7 bis du projet de loi relatif au dialogue social et à l'emploi (nouvelle lecture).,l'amendement n° 279 du Gouvernement à l'article 7 bis du projet de loi relatif au dialogue social et à l'emploi (nouvelle lecture).,SPO,scrutin public ordinaire,adopté,l'Assemblée nationale a adopté,DecompteNominatif,37,25,22,3,12,4,Président du groupe écologiste,PO644420,SCR5A2015E1,RUANR5L14S2015IDS19391
VTANR5L14V1153,14,1153,2015-07-07,l'amendement n° 280 du Gouvernement à l'article 7 bis du projet de loi relatif au dialogue social et à l'emploi (nouvelle lecture).,l'amendement n° 280 du Gouvernement à l'article 7 bis du projet de loi relatif au dialogue social et à l'emploi (nouvelle lecture).,SPO,scrutin public ordinaire,adopté,l'Assemblée nationale a adopté,DecompteNominatif,39,37,30,7,2,4,Président du groupe écologiste,PO644420,SCR5A2015E1,RUANR5L14S2015IDS19391
VTANR5L14V1154,14,1154,2015-07-07,l'amendement n° 284 du Gouvernement à l'article 7 bis du projet de loi relatif au dialogue social et à l'emploi (nouvelle lecture).,l'amendement n° 284 du Gouvernement à l'article 7 bis du projet de loi relatif au dialogue social et à l'emploi (nouvelle lecture).,SPO,scrutin public ordinaire,adopté,l'Assemblée nationale a adopté,DecompteNominatif,31,27,24,3,4,4,Président du groupe de la gauche démocrate et républicaine,PO644420,SCR5A2015E1,RUANR5L14S2015IDS19391
VTANR5L14V1155,14,1155,2015-07-15,la déclaration du Gouvernement sur l'accord européen relatif à la Grèce (en application de l'article 50-1 de la Constitution).,la déclaration du Gouvernement sur l'accord européen relatif à la Grèce (en application de l'article 50-1 de la Constitution).,SPS,scrutin public solennel,adopté,l'Assemblée nationale a adopté,DecompteNominatif,530,481,412,69,49,3,Conférence des présidents,PO644420,SCR5A2015E1,RUANR5L14S2015IDS19415
