acteur_id,nom,prenom,civilite,trigramme,date_naissance,groupe_organe_ref,groupe_code,groupe_libelle,groupe_libelle_court,groupe_couleur,position_politique,circonscription_numero,departement,profession,uri_hatvp,an_legislatures,senat_active
PA267200,Huyghe,Sébastien,M.,SHY,1969-10-25,PO845407,EPR,Ensemble pour la République,EPR,#7B4591,,5,Nord,Notaire,https://www.hatvp.fr/pages_nominatives/huyghe-sebastien,17,False
PA267285,Wauquiez,Laurent,M.,LWA,1975-04-12,PO845425,DR,Droite Républicaine,DR,#8CB0DC,,1,Haute-Loire,(33) - Cadre de la fonction publique,https://www.hatvp.fr/pages_nominatives/wauquiez-laurent,17,False
PA267318,Grelier,Jean-Carles,M.,JGR,1966-03-15,PO845454,DEM,Les Démocrates,Dem,#F07E26,,5,Sarthe,Avocat,https://www.hatvp.fr/pages_nominatives/grelier-jean-carles-9591,17,False
PA267763,Bataille,Jean-Pierre,M.,JPB,1963-10-24,PO845485,LIOT,"Libertés, Indépendants, Outre-mer et Territoires",LIOT,#FFD96F,,15,Nord,Pharmacien,https://www.hatvp.fr/pages_nominatives/bataille-jean-pierre-9443,17,False
PA267780,Firmin Le Bodo,Agnès,Mme,AFI,1968-11-20,PO845470,HOR,Horizons & Indépendants,HOR,#B5E2F9,,7,Seine-Maritime,Pharmacien,https://www.hatvp.fr/pages_nominatives/firmin-le-bodo-agnes,17,False
PA267794,Tabarot,Michèle,Mme,MTA,1962-10-13,PO845425,DR,Droite Républicaine,DR,#8CB0DC,,9,Alpes-Maritimes,Chef d'entreprise,https://www.hatvp.fr/pages_nominatives/tabarot-michele,17,False
PA2940,Voynet,Dominique,Mme,DVO,1958-11-04,PO845439,ECOS,Écologiste et Social,EcoS,#77AA79,,2,Doubs,Médecin,https://www.hatvp.fr/pages_nominatives/voynet-dominique-8816,17,False
PA2952,Warsmann,Jean-Luc,M.,JWA,1965-10-22,PO845485,LIOT,"Libertés, Indépendants, Outre-mer et Territoires",LIOT,#FFD96F,,3,Ardennes,Directeur de mutuelle,https://www.hatvp.fr/pages_nominatives/warsmann-jean-luc,17,False
PA309643,Besse,Véronique,Mme,VBE,1963-08-11,PO840056,NI,Non inscrit,NI,#8D949A,,4,Vendée,Journaliste,https://www.hatvp.fr/pages_nominatives/besse-veronique,17,False
PA330008,Breton,Xavier,M.,XBR,1962-11-25,PO845425,DR,Droite Républicaine,DR,#8CB0DC,,1,Ain,Cadre territorial,https://www.hatvp.fr/pages_nominatives/breton-xavier,17,False
PA330240,Ciotti,Éric,M.,ECI,1965-09-28,PO872880,UDDPLR,Union des droites pour la République,UDR,#3367A7,,1,Alpes-Maritimes,(33) - Cadre de la fonction publique,https://www.hatvp.fr/pages_nominatives/ciotti-eric,17,False
PA330909,Descoeur,Vincent,M.,VDE,1962-12-13,PO845425,DR,Droite Républicaine,DR,#8CB0DC,,1,Cantal,Professeur agrégé de biologie,https://www.hatvp.fr/pages_nominatives/descoeur-vincent-3159,17,False
PA331582,Vigier,Philippe,M.,PVG,1958-02-03,PO845454,DEM,Les Démocrates,Dem,#F07E26,,4,Eure-et-Loir,Biologiste A.I.H.P.,https://www.hatvp.fr/pages_nominatives/vigier-philippe,17,False
PA331973,Got,Pascale,Mme,PGT,1961-04-01,PO845419,SOC,Socialistes et apparentés,SOC,#F5B4CE,,5,Gironde,Journaliste,https://www.hatvp.fr/pages_nominatives/got-pascale,17,False
PA332228,Benoit,Thierry,M.,TBE,1966-09-13,PO845470,HOR,Horizons & Indépendants,HOR,#B5E2F9,,6,Ille-et-Vilaine,Représentant de commerce,https://www.hatvp.fr/pages_nominatives/benoit-thierry,17,False
PA332523,Dalloz,Marie-Christine,Mme,MDL,1958-01-10,PO845425,DR,Droite Républicaine,DR,#8CB0DC,,2,Jura,retraitée,https://www.hatvp.fr/pages_nominatives/dalloz-marie-christine,17,False
PA333285,Garot,Guillaume,M.,GGR,1966-05-29,PO845419,SOC,Socialistes et apparentés,SOC,#F5B4CE,,1,Mayenne,Cadre administratif,https://www.hatvp.fr/pages_nominatives/garot-guillaume,17,False
PA335054,Karamanli,Marietta,Mme,MKA,1964-12-18,PO845419,SOC,Socialistes et apparentés,SOC,#F5B4CE,,2,Sarthe,Professeur dans l'enseignement supérieur,https://www.hatvp.fr/pages_nominatives/karamanli-marietta,17,False
PA335612,Lecoq,Jean-Paul,M.,JLC,1958-10-13,PO845514,GDR,Gauche Démocrate et Républicaine,GDR,#830E21,,8,Seine-Maritime,Électricien,https://www.hatvp.fr/pages_nominatives/lecoq-jean-paul,17,False
PA335999,Batho,Delphine,Mme,DBT,1973-03-23,PO845439,ECOS,Écologiste et Social,EcoS,#77AA79,,2,Deux-Sèvres,Cadre territorial,https://www.hatvp.fr/pages_nominatives/batho-delphine,17,False
PA340343,Saulignac,Hervé,M.,HSA,1970-11-06,PO845419,SOC,Socialistes et apparentés,SOC,#F5B4CE,,1,Ardèche,Cadre (entreprises publiques),https://www.hatvp.fr/pages_nominatives/saulignac-herve-8266,17,False
PA341981,Récalde,Marie,Mme,mre,1965-03-12,PO845419,SOC,Socialistes et apparentés,SOC,#F5B4CE,,6,Gironde,Avocate,https://www.hatvp.fr/pages_nominatives/recalde-marie,17,False
PA342196,Rouaux,Claudia,Mme,ROC,1963-10-13,PO845419,SOC,Socialistes et apparentés,SOC,#F5B4CE,,3,Ille-et-Vilaine,Gestionnaire à l'INRAE,https://www.hatvp.fr/pages_nominatives/rouaux-claudia,17,False
PA342240,Bourgeaux,Jean-Luc,M.,JBO,1963-04-10,PO845425,DR,Droite Républicaine,DR,#8CB0DC,,7,Ille-et-Vilaine,Agriculteur,https://www.hatvp.fr/pages_nominatives/bourgeaux-jean-luc-18806,17,False
PA342384,Martin,Élisa,Mme,EMR,1972-05-15,PO845413,LFI-NFP,La France insoumise - Nouveau Front Populaire,LFI-NFP,#C00D0D,,3,Isère,"Professeur, profession scientifique",https://www.hatvp.fr/pages_nominatives/martin-elisa,17,False
PA342415,Battistel,Marie-Noëlle,Mme,MNB,1956-08-20,PO845419,SOC,Socialistes et apparentés,SOC,#F5B4CE,,4,Isère,Autre cadre (secteur privé),https://www.hatvp.fr/pages_nominatives/battistel-marie-noelle,17,False
PA345722,Le Grip,Constance,Mme,CLG,1960-11-14,PO845407,EPR,Ensemble pour la République,EPR,#7B4591,,6,Hauts-de-Seine,Conseillère parlementaire,https://www.hatvp.fr/pages_nominatives/le-grip-constance,17,False
PA346782,Juvin,Philippe,M.,PJU,1964-02-01,PO845425,DR,Droite Républicaine,DR,#8CB0DC,,3,Hauts-de-Seine,Professeur de médecine,https://www.hatvp.fr/pages_nominatives/juvin-philippe,17,False
PA368,Barnier,Michel,M.,MBAR,1951-01-09,PO845425,DR,Droite Républicaine,DR,#8CB0DC,,2,Paris,Ancien Premier ministre,https://www.hatvp.fr/pages_nominatives/barnier-michel-27734,17,False
PA569,Bonnecarrère,Philippe,M.,PBC,1955-07-12,PO840056,NI,Non inscrit,NI,#8D949A,,1,Tarn,Avocat,https://www.hatvp.fr/pages_nominatives/bonnecarrere-philippe,17,False
PA588884,Autain,Clémentine,Mme,CAU,1973-05-26,PO845439,ECOS,Écologiste et Social,EcoS,#77AA79,,11,Seine-Saint-Denis,Journaliste et autre média,https://www.hatvp.fr/pages_nominatives/autain-clementine,17,False
