matricule,dim1,dim2,nom,prenom,groupe_code,groupe_libelle_court,circonscription_libelle,siege,url,url_avatar,full_name,dim1_raw,dim2_raw
14281W,-0.794298786843222,0.04761135670867977,Féret,Corinne,SOC,SER,Calvados,147,https://www.senat.fr/senateur/feret_corinne14281w.html,https://www.senat.fr/senimg/feret_corinne14281w_carre.jpg,Corinne Féret,-0.794298786843222,0.08441729912886485
14327T,0.12128635415892525,0.10481029695801224,Delcros,Bernard,UC,UC,Cantal,27,https://www.senat.fr/senateur/delcros_bernard14327t.html,https://www.senat.fr/senimg/delcros_bernard14327t_carre.jpg,Bernard Delcros,0.12128635415892525,0.18583385985463163
14329V,0.7473793576661565,-0.03812690982373959,Chain-Larché,Anne,UMP,Les Républicains,Seine-et-Marne,276,https://www.senat.fr/senateur/chain_larche_anne14329v.html,https://www.senat.fr/senimg/chain_larche_anne14329v_carre.jpg,Anne Chain-Larché,0.7473793576661565,-0.0676009039428007
14331P,0.7750426127800794,-0.045245926527129776,Rapin,Jean-François,UMP,Les Républicains,Pas-de-Calais,172,https://www.senat.fr/senateur/rapin_jean_francois14331p.html,https://www.senat.fr/senimg/rapin_jean_francois14331p_carre.jpg,Jean-François Rapin,0.7750426127800794,-0.08022327398427266
14355X,0.6913655394982214,-0.015401682980410428,Gerbaud,Frédérique,UMP,Les Républicains,Indre,343,https://www.senat.fr/senateur/gerbaud_frederique14355x.html,https://www.senat.fr/senimg/gerbaud_frederique14355x_carre.jpg,Frédérique Gerbaud,0.6913655394982214,-0.027307948546827002
14357A,0.7945820038072781,-0.06991822077104615,Cuypers,Pierre,UMP,Les Républicains,Seine-et-Marne,275,https://www.senat.fr/senateur/cuypers_pierre14357a.html,https://www.senat.fr/senimg/cuypers_pierre14357a_carre.jpg,Pierre Cuypers,0.7945820038072781,-0.12396847654440807
15197G,0.24429569597679746,0.08643148830576385,Dhersin,Franck,UC,UC,Nord,124,https://www.senat.fr/senateur/dhersin_franck15197g.html,https://www.senat.fr/senimg/dhersin_franck15197g_carre.jpg,Franck Dhersin,0.24429569597679746,0.15324731969107067
17023S,0.2169286977715541,0.08648208074095567,Folliot,Philippe,UC,UC,Tarn,321,https://www.senat.fr/senateur/folliot_philippe17023s.html,https://www.senat.fr/senimg/folliot_philippe17023s_carre.jpg,Philippe Folliot,0.2169286977715541,0.15333702259034696
17229F,0.22096120765930016,0.08790511209489224,Demilly,Stéphane,UC,UC,Somme,7,https://www.senat.fr/senateur/demilly_stephane17229f.html,https://www.senat.fr/senimg/demilly_stephane17229f_carre.jpg,Stéphane Demilly,0.22096120765930016,0.15586012782782313
17367Q,0.6984385818808562,-0.06764828885550027,Blanc,Étienne,UMP,Les Républicains,Rhône,344,https://www.senat.fr/senateur/blanc_etienne17367q.html,https://www.senat.fr/senimg/blanc_etienne17367q_carre.jpg,Étienne Blanc,0.6984385818808562,-0.11994377456648986
