matricule,dim1,dim2,nom,prenom,groupe_code,groupe_libelle_court,circonscription_libelle,siege,url,url_avatar,full_name,dim1_raw,dim2_raw,group_members,rank_left_to_right,percentile_left_to_right,group_dim1_mean,group_dim2_mean,distance_to_group_center,distance_to_group_label,close_to_group,far_from_group,total_public_votes,yes_votes,no_votes,abstentions,non_voting,abstention_rate,non_voting_rate,yes_no_share,yes_no_votes_with_group_majority,votes_with_group,votes_against_group,group_loyalty_rate,distance_to_samantha_1d,ideal_rank_left_to_right,rank_abstention_in_group,rank_most_loyal_in_group
21051B,-0.7964940992896179,0.0630041440244204,Uzenat,Simon,SOC,SER,Morbihan,149,https://www.senat.fr/senateur/uzenat_simon21051b.html,https://www.senat.fr/senimg/uzenat_simon21051b_carre.jpg,Simon Uzenat,-0.7964940992896179,0.11170947522060354,65,42,0.640625,-0.8152406676847206,0.050540205999973865,0.02251185415885389,proche,TRUE,FALSE,882,476,278,93,35,0.1054421768707483,0.03968253968253968,0.854875283446712,754,751,3,0.9960212201591512,0.5244555154871586,42,16.5,31
21052C,0.10898971538678236,0.12338827546240533,Brault,Jean-Luc,RTLI,Les Indépendants,Loir-et-Cher,157,https://www.senat.fr/senateur/brault_jean_luc21052c.html,https://www.senat.fr/senimg/brault_jean_luc21052c_carre.jpg,Jean-Luc Brault,0.10898971538678236,0.21877353805391017,20,10,0.47368421052631576,0.1570127359444524,0.11715489670009958,0.048425876494667223,proche,TRUE,FALSE,882,393,381,99,9,0.11224489795918367,0.01020408163265306,0.8775510204081632,773,767,6,0.9922380336351876,0.3810282991892416,155,17,5
21053D,0.13544038428303656,0.0779488351400269,Pillefer,Bernard,UC,UC,Loir-et-Cher,213,https://www.senat.fr/senateur/pillefer_bernard21053d.html,https://www.senat.fr/senimg/pillefer_bernard21053d_carre.jpg,Bernard Pillefer,0.13544038428303656,0.1382071545035938,59,9,0.13793103448275862,0.19600620103114486,0.09263700079581998,0.06232142784546463,proche,TRUE,FALSE,882,428,411,28,15,0.031746031746031744,0.017006802721088437,0.9512471655328798,838,798,40,0.9522673031026253,0.4074789680854958,162,27,47
21054E,0.12415448812328889,0.1149330477739583,Louault,Vincent,RTLI,Les Indépendants,Indre-et-Loire,257,https://www.senat.fr/senateur/louault_vincent21054e.html,https://www.senat.fr/senimg/louault_vincent21054e_carre.jpg,Vincent Louault,0.12415448812328889,0.20378199959921686,20,14,0.6842105263157895,0.1570127359444524,0.11715489670009958,0.032933281988401814,proche,TRUE,FALSE,882,391,392,90,9,0.10204081632653061,0.01020408163265306,0.8877551020408163,782,770,12,0.9846547314578005,0.3961930719257481,160,12,11
21055F,0.6122739566490712,-0.02533675376190583,Paumier,Jean-Gérard,UMP,Les Républicains,Indre-et-Loire,182,https://www.senat.fr/senateur/paumier_jean_gerard21055f.html,https://www.senat.fr/senimg/paumier_jean_gerard21055f_carre.jpg,Jean-Gérard Paumier,0.6122739566490712,-0.04492332227288268,131,33,0.24615384615384617,0.6571054778305727,-0.024202517789836234,0.0448458669521256,proche,TRUE,FALSE,882,414,455,13,0,0.01473922902494331,0,0.9852607709750567,869,854,15,0.9827387802071347,0.8843125404515304,250,95,108
21056G,-0.8453207252907218,0.0462089065559714,Roiron,Pierre-Alain,SOC,SER,Indre-et-Loire,193,https://www.senat.fr/senateur/roiron_pierre_alain21056g.html,https://www.senat.fr/senimg/roiron_pierre_alain21056g_carre.jpg,Pierre-Alain Roiron,-0.8453207252907218,0.08193068538292803,65,20,0.296875,-0.8152406676847206,0.050540205999973865,0.03039029483986567,proche,TRUE,FALSE,882,476,278,93,35,0.1054421768707483,0.03968253968253968,0.854875283446712,754,753,1,0.9986737400530504,0.5732821414882625,20,16.5,10
21057H,-0.7113703280053794,0.049647091696741405,Chaillou,Christophe,SOC,SER,Loiret,143,https://www.senat.fr/senateur/chaillou_christophe21057h.html,https://www.senat.fr/senimg/chaillou_christophe21057h_carre.jpg,Christophe Chaillou,-0.7113703280053794,0.08802675832755569,65,62,0.953125,-0.8152406676847206,0.050540205999973865,0.10387417926636228,intermédiaire,FALSE,FALSE,882,481,275,93,33,0.1054421768707483,0.03741496598639456,0.8571428571428571,756,751,5,0.9933862433862434,0.43933174420292015,66,16.5,47
21058J,0.5848962863193965,-0.015045784779989283,Martin,Pauline,UMP,Les Républicains,Loiret,230,https://www.senat.fr/senateur/martin_pauline21058j.html,https://www.senat.fr/senimg/martin_pauline21058j_carre.jpg,Pauline Martin,0.5848962863193965,-0.026676923368775328,131,25,0.18461538461538463,0.6571054778305727,-0.024202517789836234,0.07278745151543187,proche,TRUE,FALSE,882,425,450,6,1,0.006802721088435374,0.0011337868480725624,0.9920634920634921,875,850,25,0.9714285714285714,0.8569348701218558,242,24.5,128
21059K,-0.8415555248419012,0.06521839787216373,Ros,David,SOC,SER,Essonne,245,https://www.senat.fr/senateur/ros_david21059k.html,https://www.senat.fr/senimg/ros_david21059k_carre.jpg,David Ros,-0.8415555248419012,0.11563545722014847,65,22,0.328125,-0.8152406676847206,0.050540205999973865,0.03013172786017491,proche,TRUE,FALSE,882,477,276,93,36,0.1054421768707483,0.04081632653061224,0.8537414965986394,753,748,5,0.9933598937583001,0.5695169410394421,22,16.5,50
21060C,-0.7732261346936403,0.043766364640552426,Ouizille,Alexandre,SOC,SER,Oise,107,https://www.senat.fr/senateur/ouizille_alexandre21060c.html,https://www.senat.fr/senimg/ouizille_alexandre21060c_carre.jpg,Alexandre Ouizille,-0.7732261346936403,0.07759993730594403,65,54,0.828125,-0.8152406676847206,0.050540205999973865,0.042557089999448745,proche,TRUE,FALSE,882,480,274,92,36,0.10430839002267574,0.04081632653061224,0.854875283446712,754,748,6,0.9920424403183024,0.5011875508911812,54,10,57
