acteur_id,dim1,dim2,nom,prenom,groupe_organe_ref,groupe_code,groupe_libelle,groupe_libelle_court,civilite,trigramme,circonscription_numero,departement,profession,uri_hatvp,groupe_couleur,position_politique,full_name,dim1_raw,dim2_raw,group_members,group_dim1_mean,group_dim2_mean,distance_to_group_center,distance_to_group_label,close_to_group,far_from_group,rank_left_to_right,percentile_left_to_right,ideal_rank_left_to_right,total_public_votes,yes_votes,no_votes,abstentions,non_voting,abstention_rate,non_voting_rate,yes_no_share,yes_no_votes_with_group_majority,votes_with_group,votes_against_group,group_loyalty_rate,groupe_couleur_dep,position_politique_dep,departement_dep,date_naissance,rank_abstention_in_group,rank_most_loyal_in_group
PA718756,0.07466680045487566,0.4565000529977369,Bono-Vandorme,Aude,PO730964,LAREM,La République en Marche,LaREM,Mme,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",1,Aisne,Profession rattachée à l'enseignement,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",#702A82,Majoritaire,Aude Bono-Vandorme,0.0841361369105849,0.4565000529977369,332,0.026784150942995827,0.4733814855692043,0.05077135895308029,proche,True,False,322.0,0.9698795180722891,463.0,1016,400,573,43,0,0.0423228346456692,0.0,0.9576771653543308,972,926,46,0.9526748971193416,#702A82,Majoritaire,Aisne,1962-08-03,300.0,298.0
PA718768,0.09381716717385202,0.5946422003941052,Valetta Ardisson,Alexandra,PO730964,LAREM,La République en Marche,LaREM,Mme,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",4,Alpes-Maritimes,Coordinatrice aménagement numérique,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",#702A82,Majoritaire,Alexandra Valetta Ardisson,0.1057151769436374,0.5946422003941052,332,0.026784150942995827,0.4733814855692043,0.13855535437092345,intermédiaire,False,False,330.0,0.9939759036144579,492.0,562,226,321,15,0,0.0266903914590747,0.0,0.9733096085409252,547,538,9,0.9835466179159048,#702A82,Majoritaire,Alpes-Maritimes,1976-06-07,272.0,179.0
PA718780,0.16973075648800487,-0.2981195358032677,Trastour-Isnart,Laurence,PO730934,LR,Les Républicains,LR,Mme,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",6,Alpes-Maritimes,Rédacteur territorial,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",#1C2EFA,Opposition,Laurence Trastour-Isnart,0.1912562220265784,-0.2981195358032677,119,0.26226051945699275,-0.39586814371825485,0.13459772429136743,intermédiaire,False,False,7.0,0.058823529411764705,524.0,735,434,216,85,0,0.1156462585034013,0.0,0.8843537414965986,649,612,37,0.9429892141756548,#1C2EFA,Opposition,Alpes-Maritimes,1972-03-06,57.0,108.0
PA718784,0.24037860061952868,-0.3801475950661913,Pauget,Éric,PO730934,LR,Les Républicains,LR,M.,EPA,7,Alpes-Maritimes,Autre cadre (secteur privé),https://www.hatvp.fr/pages_nominatives/pauget-eric-6497,#1C2EFA,Opposition,Éric Pauget,0.270863713576719,-0.3801475950661913,119,0.26226051945699275,-0.39586814371825485,0.02694353395401692,proche,True,False,48.0,0.40336134453781514,569.0,787,481,240,66,0,0.0838627700127064,0.0,0.9161372299872936,718,700,18,0.9749303621169916,#1C2EFA,Opposition,Alpes-Maritimes,1970-08-18,12.0,54.0
PA718794,0.055479715814224194,0.6181259356561483,Hérin,Danièle,PO730964,LAREM,La République en Marche,LaREM,Mme,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",1,Aude,Retraitée professeur d'université - ancienne présidente d'université,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",#702A82,Majoritaire,Danièle Hérin,0.0625157223433846,0.6181259356561483,332,0.026784150942995827,0.4733814855692043,0.14756148303080546,intermédiaire,False,False,276.0,0.8313253012048193,390.0,851,328,520,3,0,0.0035252643948296,0.0,0.9964747356051704,848,840,8,0.9905660377358492,#702A82,Majoritaire,Aude,1947-01-14,68.0,89.0
PA718802,0.06247231170174959,0.5356511256970515,Perea,Alain,PO730964,LAREM,La République en Marche,LaREM,M.,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",2,Aude,Fonctionnaire de catégorie A,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",#702A82,Majoritaire,Alain Perea,0.0703951279342105,0.5356511256970515,332,0.026784150942995827,0.4733814855692043,0.07177153265741408,proche,True,False,295.0,0.8885542168674698,417.0,846,343,495,8,0,0.0094562647754137,0.0,0.9905437352245864,838,816,22,0.973747016706444,#702A82,Majoritaire,Aude,1971-06-05,172.0,250.0
PA718810,0.02811879679628595,0.4824386939721095,Robert,Mireille,PO730964,LAREM,La République en Marche,LaREM,Mme,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",3,Aude,Enseignante 1er degré-directrice d'école,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",#702A82,Majoritaire,Mireille Robert,0.031684857561869,0.4824386939721095,332,0.026784150942995827,0.4733814855692043,0.009155015216118481,proche,True,False,151.0,0.45481927710843373,248.0,1356,553,797,6,0,0.0044247787610619,0.0,0.995575221238938,1350,1322,28,0.9792592592592592,#702A82,Majoritaire,Aude,1962-03-01,85.0,213.0
PA718838,0.2692838958713592,-0.4867590788475096,Brun,Fabrice,PO730934,LR,Les Républicains,LR,M.,FBR,3,Ardèche,Industriel-Chef d'entreprise,https://www.hatvp.fr/pages_nominatives/brun-fabrice,#1C2EFA,Opposition,Fabrice Brun,0.3034348143060002,-0.4867590788475096,119,0.26226051945699275,-0.39586814371825485,0.09116188844538199,proche,True,False,64.0,0.5378151260504201,585.0,664,392,202,70,0,0.1054216867469879,0.0,0.8945783132530121,591,572,19,0.9678510998307952,#1C2EFA,Opposition,Ardèche,1968-04-02,42.0,75.0
PA718850,0.4116363785434034,-0.6791315133190836,Cordier,Pierre,PO730934,LR,Les Républicains,LR,M.,PCD,2,Ardennes,Fonctionnaire de catégorie A,https://www.hatvp.fr/pages_nominatives/cordier-pierre-2482,#1C2EFA,Opposition,Pierre Cordier,0.4638406157959808,-0.6791315133190836,119,0.26226051945699275,-0.39586814371825485,0.3202362937510658,éloigné,False,True,119.0,1.0,640.0,938,558,284,96,0,0.1023454157782516,0.0,0.8976545842217484,841,828,13,0.9845422116527944,#1C2EFA,Opposition,Ardennes,1972-05-27,34.0,26.0
PA718860,-0.30882491523665934,-0.9374980689991042,Taurine,Bénédicte,PO730958,FI,La France insoumise,FI,Mme,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",1,Ariège,Professeur du secondaire et technique,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",#ED302C,Opposition,Bénédicte Taurine,-0.3479904749026201,-0.9374980689991042,17,-0.26973340529363743,-0.778379190695363,0.16385043052206538,intermédiaire,False,False,3.0,0.17647058823529413,3.0,901,549,287,65,0,0.0721420643729189,0.0,0.9278579356270812,835,834,1,0.9988023952095808,#ED302C,Opposition,Ariège,1976-06-18,5.0,10.0
