acteur_id,nom,prenom,groupe_organe_ref,groupe_code,groupe_libelle,groupe_libelle_court,civilite,trigramme,circonscription_numero,departement,profession,uri_hatvp,groupe_couleur,position_politique
PA840967,Lioret,René,PO845401,RN,Rassemblement National,RN,M.,RLI,5,Côte-d'Or,(74) - Ancien cadre,https://www.hatvp.fr/pages_nominatives/lioret-rene-27486,#313567,
PA840979,Le Fur,Corentin,PO845425,DR,Droite Républicaine,DR,M.,CFU,3,Côtes-d'Armor,(37) - Cadre administratif et commercial d'entreprise,https://www.hatvp.fr/pages_nominatives/le-fur-corentin-27464,#8CB0DC,
PA840983,Lenoir,Bartolomé,PO872880,UDDPLR,Union des droites pour la République,UDR,M.,BLE,1,Creuse,(37) - Cadre administratif et commercial d'entreprise,https://www.hatvp.fr/pages_nominatives/lenoir-bartolome-27481,#3367A7,
PA840997,Biteau,Benoît,PO845439,ECOS,Écologiste et Social,EcoS,M.,BBT,2,Charente-Maritime,(12) - Agriculteur sur moyenne exploitation,https://www.hatvp.fr/pages_nominatives/biteau-benoit-9623,#77AA79,
PA841017,Huwart,Harold,PO845485,LIOT,"Libertés, Indépendants, Outre-mer et Territoires",LIOT,M.,HHU,3,Eure-et-Loir,Administrateur de l'État,https://www.hatvp.fr/pages_nominatives/huwart-harold,#FFD96F,
PA841023,Cadalen,Pierre-Yves,PO845413,LFI-NFP,La France insoumise - Nouveau Front Populaire,LFI-NFP,M.,PCL,2,Finistère,"(34) - Professeur, profession scientifique",https://www.hatvp.fr/pages_nominatives/cadalen-pierre-yves-27448,#C00D0D,
PA841047,Ceccoli,François-Xavier,PO845425,DR,Droite Républicaine,DR,M.,FCE,2,Haute-Corse,(23) - Chef d'entreprise de 10 salariés ou plus,https://www.hatvp.fr/pages_nominatives/ceccoli-francois-xavier-27454,#8CB0DC,
PA841059,Dellong Meng,Catherine,PO845401,RN,Rassemblement National,RN,Mme,CDEL,3,Gard,Cadre territoriale de la fonction publique retraitée,https://www.hatvp.fr/pages_nominatives/dellong-meng-catherine-30332,#313567,
PA841067,Allegret-Pilot,Alexandre,PO872880,UDDPLR,Union des droites pour la République,UDR,M.,AAL,5,Gard,(33) - Cadre de la fonction publique,https://www.hatvp.fr/pages_nominatives/allegret-pilot-alexandre-27429,#3367A7,
PA841075,Josserand,Sylvie,PO845401,RN,Rassemblement National,RN,Mme,SJS,6,Gard,(31) - Profession libérale,https://www.hatvp.fr/pages_nominatives/josserand-sylvie-27442,#313567,
PA841091,Simion,Arnaud,PO845419,SOC,Socialistes et apparentés,SOC,M.,ASM,6,Haute-Garonne,(33) - Cadre de la fonction publique,https://www.hatvp.fr/pages_nominatives/simion-arnaud-8003,#F5B4CE,
PA841107,Oberti,Jacques,PO845419,SOC,Socialistes et apparentés,SOC,M.,JOB,10,Haute-Garonne,(38) - Ingénieur et cadre technique d'entreprise,https://www.hatvp.fr/pages_nominatives/oberti-jacques,#F5B4CE,
PA841131,Bouquin,Manon,PO845401,RN,Rassemblement National,RN,Mme,MBU,4,Hérault,(33) - Cadre de la fonction publique,https://www.hatvp.fr/pages_nominatives/bouquin-manon-27517,#313567,
PA841139,Gabarron,Julien,PO845401,RN,Rassemblement National,RN,M.,JGA,6,Hérault,Cadre Commercial,https://www.hatvp.fr/pages_nominatives/gabarron-julien-27424,#313567,
