acteur_id,dim1,dim2,nom,prenom,groupe_organe_ref,groupe_code,groupe_libelle,groupe_libelle_court,civilite,trigramme,circonscription_numero,departement,profession,uri_hatvp,groupe_couleur,position_politique,full_name,dim1_raw,dim2_raw,group_members,group_dim1_mean,group_dim2_mean,distance_to_group_center,distance_to_group_label,close_to_group,far_from_group,rank_left_to_right,percentile_left_to_right,ideal_rank_left_to_right,total_public_votes,yes_votes,no_votes,abstentions,non_voting,abstention_rate,non_voting_rate,yes_no_share,yes_no_votes_with_group_majority,votes_with_group,votes_against_group,group_loyalty_rate,groupe_couleur_dep,position_politique_dep,departement_dep,date_naissance,rank_abstention_in_group,rank_most_loyal_in_group,dim1_sen_space,dim2_sen_space
PA609743,-0.3240687603928838,-0.5046218166651435,Bulteau,Sylviane,PO656002,SRC,"Socialiste, républicain et citoyen",SRC,Mme,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",2,Vendée,Assistante sociale,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",,Majoritaire,Sylviane Bulteau,-0.3240687603928838,-0.5327923932753441,316,-0.3421714223457844,-0.2915641736600459,0.213825315649641,intermédiaire,False,False,148.0,0.4683544303797468,174.0,22,14,8,0,0,0.0,0.0,1.0,22,22,0,1.0,,Majoritaire,Vendée,1964-04-21,109.5,94.0,-0.8082464648488732,-0.11971050248976
PA609764,0.2103290319554289,0.3150465223219836,Moreau,Yannick,PO656006,UMP,Union pour un Mouvement Populaire,UMP,M.,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",3,Vendée,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}","{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",,,Yannick Moreau,0.2103290319554289,0.332634034196719,199,0.4616419344258717,0.2097077253158779,0.2724966735628379,éloigné,False,True,4.0,0.0201005025125628,410.0,45,21,22,2,0,0.0444444444444444,0.0,0.9555555555555556,43,41,2,0.9534883720930232,,,Vendée,1975-08-04,79.0,158.5,0.2596505874489717,0.33332326179949157
PA609775,-0.2067247329841098,-0.47963832198832,Fourage,Hugues,PO656002,SRC,"Socialiste, républicain et citoyen",SRC,M.,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",5,Vendée,En disponibilité,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",,Majoritaire,Hugues Fourage,-0.2067247329841098,-0.5064141918546958,316,-0.3421714223457844,-0.2915641736600459,0.2317707723774584,intermédiaire,False,False,274.0,0.8670886075949367,313.0,24,13,11,0,0,0.0,0.0,1.0,24,23,1,0.9583333333333334,,Majoritaire,Vendée,1965-06-04,109.5,233.5,-0.6816543746041015,-0.17252907849253885
PA609816,-0.5069261790675024,0.1441461871034517,Massonneau,Véronique,PO656014,ECOLO,Écologiste,Écolo,Mme,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",4,Vienne,Employée du secteur privé,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",,Minoritaire,Véronique Massonneau,-0.5069261790675024,0.1521931661930631,18,-0.4806495988477263,0.2028321337218721,0.0643000699731066,proche,True,False,9.0,0.5,44.0,240,147,57,36,0,0.15,0.0,0.85,204,196,8,0.9607843137254902,,Minoritaire,Vienne,1959-07-17,7.5,10.0,-0.5267955930465308,0.638298715399563
PA609845,-0.1790154833490251,-0.3869236801379122,Beaubatie,Catherine,PO656002,SRC,"Socialiste, républicain et citoyen",SRC,Mme,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",3,Haute-Vienne,Professeur du secondaire,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",,Majoritaire,Catherine Beaubatie,-0.1790154833490251,-0.4085237434202707,316,-0.3421714223457844,-0.2915641736600459,0.1889796176988843,intermédiaire,False,False,297.0,0.939873417721519,336.0,20,12,7,1,0,0.05,0.0,0.95,19,17,2,0.8947368421052632,,Majoritaire,Haute-Vienne,1964-02-10,266.5,292.5,-0.5913278343246071,-0.09970098583139148
PA609963,-0.4272544162140994,-0.0846131515209546,Pouzol,Michel,PO656002,SRC,"Socialiste, républicain et citoyen",SRC,M.,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",3,Essonne,Cadre supérieur du secteur public,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",,Majoritaire,Michel Pouzol,-0.4272544162140994,-0.089336691384736,316,-0.3421714223457844,-0.2915641736600459,0.2237584443322985,intermédiaire,False,False,78.0,0.2468354430379747,92.0,29,15,14,0,0,0.0,0.0,1.0,29,29,0,1.0,,Majoritaire,Essonne,1962-07-05,109.5,94.0,-0.6118961169522026,0.36100194498188143
PA609983,-0.4877367573166339,-0.2448810377547462,Olivier,Maud,PO656002,SRC,"Socialiste, républicain et citoyen",SRC,Mme,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",5,Essonne,Cadre du secteur privé,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",,Majoritaire,Maud Olivier,-0.4877367573166339,-0.258551552597019,316,-0.3421714223457844,-0.2915641736600459,0.1528678577174688,intermédiaire,False,False,40.0,0.1265822784810126,51.0,23,12,11,0,0,0.0,0.0,1.0,23,23,0,1.0,,Majoritaire,Essonne,1953-02-20,109.5,94.0,-0.7797463444628823,0.2434068270544607
PA610002,-0.529695881875545,0.2913523109159963,Sas,Eva,PO656014,ECOLO,Écologiste,Écolo,Mme,ESA,8,Paris,Cadre supérieur du secteur privé,https://www.hatvp.fr/pages_nominatives/sas-eva,,Minoritaire,Eva Sas,-0.529695881875545,0.3076170904482385,18,-0.4806495988477263,0.2028321337218721,0.1011996030097155,intermédiaire,False,False,8.0,0.4444444444444444,39.0,194,126,32,36,0,0.1855670103092783,0.0,0.8144329896907216,157,155,2,0.9872611464968152,,Minoritaire,Paris,1970-08-13,14.0,6.5,-0.4455124472772755,0.7979489331935099
PA610045,-0.3685497542304531,-0.4261737595584368,Boutih,Malek,PO656002,SRC,"Socialiste, républicain et citoyen",SRC,M.,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",10,Essonne,Cadre supérieur du secteur privé,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",,Majoritaire,Malek Boutih,-0.3685497542304531,-0.449964963478708,316,-0.3421714223457844,-0.2915641736600459,0.137169810850471,intermédiaire,False,False,112.0,0.3544303797468354,131.0,18,10,8,0,0,0.0,0.0,1.0,18,18,0,1.0,,Majoritaire,Essonne,1964-10-27,109.5,94.0,-0.7950315636731933,-0.013304278227617566
PA610066,-0.4591488634491081,-0.192946835055421,Bachelay,Alexis,PO656002,SRC,"Socialiste, républicain et citoyen",SRC,M.,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",1,Hauts-de-Seine,Fonctionnaire de catégorie A,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",,Majoritaire,Alexis Bachelay,-0.4591488634491081,-0.2037181164767142,316,-0.3421714223457844,-0.2915641736600459,0.1530003307203641,intermédiaire,False,False,56.0,0.1772151898734177,68.0,35,20,13,2,0,0.0571428571428571,0.0,0.9428571428571428,33,28,5,0.8484848484848485,,Majoritaire,Hauts-de-Seine,1973-08-19,278.0,304.5,-0.716990093819518,0.2755866534357526
PA610075,-0.3016990056848748,-0.2245179294173833,Pietrasanta,Sébastien,PO656002,SRC,"Socialiste, républicain et citoyen",SRC,M.,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",2,Hauts-de-Seine,Professeur du secondaire,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",,Majoritaire,Sébastien Pietrasanta,-0.3016990056848748,-0.2370516711664306,316,-0.3421714223457844,-0.2915641736600459,0.0783148477456289,proche,True,False,178.0,0.5632911392405063,210.0,29,14,15,0,0,0.0,0.0,1.0,29,29,0,1.0,,Majoritaire,Hauts-de-Seine,1977-08-07,109.5,94.0,-0.5924440271663587,0.14075795167645005
PA610125,0.2156821166238378,0.0922303243191805,Fromantin,Jean-Christophe,PO656010,UDI,Union des démocrates et indépendants,UDI,M.,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",6,Hauts-de-Seine,Industriel-Chef d'entreprise,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",,Opposition,Jean-Christophe Fromantin,0.2156821166238378,0.0973790938158851,32,0.1629270516821792,0.1112757391863862,0.0560876519785111,proche,True,False,28.0,0.875,414.0,28,12,15,1,0,0.0357142857142857,0.0,0.9642857142857144,26,18,8,0.6923076923076923,,Opposition,Hauts-de-Seine,1962-08-30,3.0,32.0,0.10952603163182101,0.11086506126269496
PA610195,-0.5838219165302223,-0.2643089331791193,Sommaruga,Julie,PO656002,SRC,"Socialiste, républicain et citoyen",SRC,Mme,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",11,Hauts-de-Seine,Collaboratrice dans une entreprise publique,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",,Majoritaire,Julie Sommaruga,-0.5838219165302223,-0.2790640127357046,316,-0.3421714223457844,-0.2915641736600459,0.2431826668849081,intermédiaire,False,False,20.0,0.0632911392405063,25.0,32,17,15,0,0,0.0,0.0,1.0,32,32,0,1.0,,Majoritaire,Hauts-de-Seine,1975-08-01,109.5,94.0,-0.8826875299596242,0.28766787314131326
PA610203,-0.6871513667340289,-0.1115593181275694,Germain,Jean-Marc,PO656002,SRC,"Socialiste, républicain et citoyen",SRC,M.,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",12,Hauts-de-Seine,Fonctionnaire de catégorie A,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",,Majoritaire,Jean-Marc Germain,-0.6871513667340289,-0.1177871311433905,316,-0.3421714223457844,-0.2915641736600459,0.3891181183720233,éloigné,False,True,6.0,0.0189873417721519,6.0,23,15,8,0,0,0.0,0.0,1.0,23,23,0,1.0,,Majoritaire,Hauts-de-Seine,1966-06-12,109.5,94.0,-0.8725145739239355,0.5058787889409981
PA610245,-0.6102894154981366,-0.0639694922704885,Hanotin,Mathieu,PO656002,SRC,"Socialiste, républicain et citoyen",SRC,M.,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",2,Seine-Saint-Denis,Cadre A de la fonction publique territoriale,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",,Majoritaire,Mathieu Hanotin,-0.6102894154981366,-0.0675405972509085,316,-0.3421714223457844,-0.2915641736600459,0.3516910536946581,éloigné,False,True,14.0,0.0443037974683544,18.0,18,14,2,2,0,0.1111111111111111,0.0,0.8888888888888888,16,12,4,0.75,,Majoritaire,Seine-Saint-Denis,1978-08-22,298.5,313.0,-0.7678585558797506,0.5019624193219258
PA610291,-0.218475311507868,-0.3011931525048107,Hammadi,Razzy,PO656002,SRC,"Socialiste, républicain et citoyen",SRC,M.,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",7,Seine-Saint-Denis,Profession libérale,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",,Majoritaire,Razzy Hammadi,-0.218475311507868,-0.3180072982608888,316,-0.3421714223457844,-0.2915641736600459,0.124070323083399,intermédiaire,False,False,263.0,0.8322784810126582,301.0,32,18,12,2,0,0.0625,0.0,0.9375,30,29,1,0.9666666666666668,,Majoritaire,Seine-Saint-Denis,1979-02-22,279.5,217.5,-0.5683707716764295,0.010550146587039733
PA610313,-0.4359117235646922,-0.3075477488471675,Pochon,Elisabeth,PO656002,SRC,"Socialiste, républicain et citoyen",SRC,Mme,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",8,Seine-Saint-Denis,Conseillère principale d'éducation,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",,Majoritaire,Elisabeth Pochon,-0.4359117235646922,-0.3247166407461537,316,-0.3421714223457844,-0.2915641736600459,0.0950932108426986,proche,True,False,71.0,0.2246835443037974,85.0,33,20,13,0,0,0.0,0.0,1.0,33,32,1,0.9696969696969696,,Majoritaire,Seine-Saint-Denis,1955-04-19,109.5,213.0,-0.7751411994493358,0.14766461515897378
PA610354,-0.1934485733102707,-0.3477489348771689,Popelin,Pascal,PO656002,SRC,"Socialiste, républicain et citoyen",SRC,M.,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",12,Seine-Saint-Denis,Fonctionnaire de catégorie A,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",,Majoritaire,Pascal Popelin,-0.1934485733102707,-0.3671620630605934,316,-0.3421714223457844,-0.2915641736600459,0.1589818015317015,intermédiaire,False,False,283.0,0.8955696202531646,322.0,27,15,12,0,0,0.0,0.0,1.0,27,27,0,1.0,,Majoritaire,Seine-Saint-Denis,1967-02-27,109.5,94.0,-0.5774890976546234,-0.05169380580740579
PA610427,-0.6301796643572115,0.3338064030410916,Abeille,Laurence,PO656014,ECOLO,Écologiste,Écolo,Mme,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",6,Val-de-Marne,Cadre du secteur privé,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",,Minoritaire,Laurence Abeille,-0.6301796643572115,0.3524411876248992,18,-0.4806495988477263,0.2028321337218721,0.1987800284610462,intermédiaire,False,False,2.0,0.1111111111111111,13.0,203,118,50,35,0,0.1724137931034483,0.0,0.8275862068965517,166,164,2,0.9879518072289156,,Minoritaire,Val-de-Marne,1960-06-17,11.0,5.0,-0.5094698974746229,0.9059124081176055
