acteur_id,dim1,dim2,nom,prenom,groupe_organe_ref,groupe_code,groupe_libelle,groupe_libelle_court,civilite,trigramme,circonscription_numero,departement,profession,uri_hatvp,groupe_couleur,position_politique,full_name
PA796118,0.8008706987642095,-0.09120480521786901,Auzanot,Bénédicte,PO845401,RN,Rassemblement National,RN,Mme,BAU,2,Vaucluse,(85) - Personne diverse sans activité professionnelle de moins de 60 ans (sauf r,https://www.hatvp.fr/pages_nominatives/auzanot-benedicte-24225,#313567,,Bénédicte Auzanot
PA805166,0.04867209975623501,0.4299339721567574,Bergantz,Anne,PO845454,DEM,Les Démocrates,Dem,Mme,ABERG,2,Yvelines,responsable de service social,https://www.hatvp.fr/pages_nominatives/bergantz-anne-24898,#F07E26,,Anne Bergantz
PA817203,0.16601171257261824,0.43451237571057144,Miller,Laure,PO845407,EPR,Ensemble pour la République,EPR,Mme,LMIL,2,Marne,Avocate,https://www.hatvp.fr/pages_nominatives/miller-laure,#7B4591,,Laure Miller
PA817211,-0.7678550096032454,-0.31762220168063143,Pilato,René,PO845413,LFI-NFP,La France insoumise - Nouveau Front Populaire,LFI-NFP,M.,RPIL,1,Charente,Enseignant,https://www.hatvp.fr/pages_nominatives/pilato-rene-25157,#C00D0D,,René Pilato
PA822617,-0.48239702453320576,0.10888123728067502,Froger,Martine,PO845419,SOC,Socialistes et apparentés,SOC,Mme,FRG,1,Ariège,Chef d'entreprise,https://www.hatvp.fr/pages_nominatives/froger-martine-25400,#F5B4CE,,Martine Froger
PA826635,-0.47706737669041205,0.14611676153007594,Rousseau,Aurélien,PO845419,SOC,Socialistes et apparentés,SOC,M.,AUR,7,Yvelines,Maître des requêtes au Conseil d'État,https://www.hatvp.fr/pages_nominatives/rousseau-aurelien-8069,#F5B4CE,,Aurélien Rousseau
PA840067,0.5881298010908708,-0.11761546444176992,Tomatis,Gabriel,PO845401,RN,Rassemblement National,RN,M.,GTO,4,Alpes-Maritimes,Sans profession déclarée,https://www.hatvp.fr/pages_nominatives/tomatis-gabriel-30409,#313567,,Gabriel Tomatis
PA840075,0.8533001139592307,-0.11449643483916781,Casterman,Eddy,PO845401,RN,Rassemblement National,RN,M.,ECS,3,Aisne,(37) - Cadre administratif et commercial d'entreprise,https://www.hatvp.fr/pages_nominatives/casterman-eddy-27338,#313567,,Eddy Casterman
PA840107,0.5183443150288576,-0.013323331288130902,Chaumeil,Bernard,PO845401,RN,Rassemblement National,RN,M.,BCHA,7,Hérault,Directeur des relations institutionnelles,https://www.hatvp.fr/pages_nominatives/chaumeil-bernard-30434,#313567,,Bernard Chaumeil
PA840119,0.7520107312511796,-0.08990794357642151,Delannoy,Sandra,PO845401,RN,Rassemblement National,RN,Mme,SDA,3,Nord,(21) - Artisan,https://www.hatvp.fr/pages_nominatives/delannoy-sandra-27339,#313567,,Sandra Delannoy
PA840135,0.43699729077472554,-0.03454653318313311,Dufosset,Alexandre,PO845401,RN,Rassemblement National,RN,M.,ADF,18,Nord,(54) - Employé administratif d'entreprise,https://www.hatvp.fr/pages_nominatives/dufosset-alexandre-27341,#313567,,Alexandre Dufosset
PA840143,0.7500768012195841,-0.10611973018141062,Florquin,Guillaume,PO845401,RN,Rassemblement National,RN,M.,GFL,20,Nord,(33) - Cadre de la fonction publique,https://www.hatvp.fr/pages_nominatives/florquin-guillaume-27342,#313567,,Guillaume Florquin
