acteur_id,dim1,dim2,nom,prenom,civilite,trigramme,groupe_organe_ref,groupe_code,groupe_libelle,groupe_libelle_court,groupe_couleur,position_politique,circonscription_numero,departement,profession,uri_hatvp,full_name
PA720390,0.2239218486109529,-0.3592564823698443,End,Jérôme,M.,JEN,PO845425,DR,Droite Républicaine,DR,#8CB0DC,,4,Moselle,Chargé de mission et d'études,https://www.hatvp.fr/pages_nominatives/end-jerome-20268,Jérôme End
PA720430,-0.3309443990655448,0.7896463553225289,Bernalicis,Ugo,M.,UBE,PO845413,LFI-NFP,La France insoumise - Nouveau Front Populaire,LFI-NFP,#C00D0D,,2,Nord,Fonctionnaire de catégorie A,https://www.hatvp.fr/pages_nominatives/bernalicis-ugo,Ugo Bernalicis
PA720446,0.5182654798783684,0.0060313760317857,Liso,Brigitte,Mme,BLI,PO845407,EPR,Ensemble pour la République,EPR,#7B4591,,4,Nord,Commerçant,https://www.hatvp.fr/pages_nominatives/liso-brigitte,Brigitte Liso
PA720468,-0.0585562079384173,-0.4833662593140093,Chenu,Sébastien,M.,SCE,PO845401,RN,Rassemblement National,RN,#313567,,19,Nord,Conseiller en communication,https://www.hatvp.fr/pages_nominatives/chenu-sebastien,Sébastien Chenu
PA720480,0.3857491373132757,-0.079622013068454,Parmentier-Lecocq,Charlotte,Mme,CLE,PO845470,HOR,Horizons & Indépendants,HOR,#B5E2F9,,6,Nord,Industriel-Chef d'entreprise,https://www.hatvp.fr/pages_nominatives/parmentier-lecocq-charlotte,Charlotte Parmentier-Lecocq
PA720552,0.3668772703295258,-0.092848441662432,Rauch,Isabelle,Mme,IRA,PO845470,HOR,Horizons & Indépendants,HOR,#B5E2F9,,9,Moselle,Consultante,https://www.hatvp.fr/pages_nominatives/rauch-isabelle-7394,Isabelle Rauch
PA720560,0.393531098156453,-0.0293095032442799,Goulet,Perrine,Mme,PGU,PO845454,DEM,Les Démocrates,Dem,#F07E26,,1,Nièvre,Autre cadre (secteur privé),https://www.hatvp.fr/pages_nominatives/goulet-perrine,Perrine Goulet
PA720614,-0.0535334979986999,-0.7051373199020173,Le Pen,Marine,Mme,MLP,PO845401,RN,Rassemblement National,RN,#313567,,11,Pas-de-Calais,Avocate,https://www.hatvp.fr/pages_nominatives/le-pen-marine,Marine Le Pen
PA720668,-0.0970115016426329,-0.7984918963775975,Blairy,Emmanuel,M.,EBLA,PO845401,RN,Rassemblement National,RN,#313567,,1,Pas-de-Calais,Fonctionnaire territorial,https://www.hatvp.fr/pages_nominatives/blairy-emmanuel-23519,Emmanuel Blairy
PA720720,0.3743574943115317,-0.0104073689746523,Poueyto,Josy,Mme,JPE,PO845454,DEM,Les Démocrates,Dem,#F07E26,,1,Pyrénées-Atlantiques,Retraitée de la fonction publique (hors enseignement),https://www.hatvp.fr/pages_nominatives/poueyto-josy-7484,Josy Poueyto
PA720728,0.3857336087640017,-0.0270855554213828,Mattei,Jean-Paul,M.,JMT,PO845454,DEM,Les Démocrates,Dem,#F07E26,,2,Pyrénées-Atlantiques,Notaire,https://www.hatvp.fr/pages_nominatives/mattei-jean-paul,Jean-Paul Mattei
PA720822,-0.1287738409920147,-0.7915220692247779,Bilde,Bruno,M.,BBI,PO845401,RN,Rassemblement National,RN,#313567,,12,Pas-de-Calais,Juriste,https://www.hatvp.fr/pages_nominatives/bilde-bruno,Bruno Bilde
