acteur_id,nom,prenom,civilite,trigramme,groupe_organe_ref,groupe_code,groupe_libelle,groupe_libelle_court,groupe_couleur,position_politique,circonscription_numero,departement,profession,uri_hatvp
PA794354,Laporte,Hélène,Mme,HLA,PO845401,RN,Rassemblement National,RN,#313567,,2,Lot-et-Garonne,Analyste bancaire,https://www.hatvp.fr/pages_nominatives/laporte-helene-24647
PA794418,Goulet,Florence,Mme,FGO,PO845401,RN,Rassemblement National,RN,#313567,,2,Meuse,Cadre de la fonction publique,https://www.hatvp.fr/pages_nominatives/goulet-florence-24331
PA794430,Criaud,Michel,M.,MCRI,PO845470,HOR,Horizons & Indépendants,HOR,#B5E2F9,,1,Morbihan,Maître menuisier à la retraite,https://www.hatvp.fr/pages_nominatives/criaud-michel-29929
PA794434,Bentz,Christophe,M.,CBN,PO845401,RN,Rassemblement National,RN,#313567,,1,Haute-Marne,"Professeur, profession scientifique",https://www.hatvp.fr/pages_nominatives/bentz-christophe-24291
PA794442,Robert-Dehault,Laurence,Mme,LRO,PO845401,RN,Rassemblement National,RN,#313567,,2,Haute-Marne,Profession libérale,https://www.hatvp.fr/pages_nominatives/robert-dehault-laurence-24136
PA794470,Gérard,Félicie,Mme,FGR,PO845470,HOR,Horizons & Indépendants,HOR,#B5E2F9,,7,Nord,Chef de projet,https://www.hatvp.fr/pages_nominatives/gerard-felicie-24330
PA794486,Spillebout,Violette,Mme,VSP,PO845407,EPR,Ensemble pour la République,EPR,#7B4591,,9,Nord,Cadre administratif et commercial d'entreprise,https://www.hatvp.fr/pages_nominatives/spillebout-violette-24216
PA794494,Vicot,Roger,M.,RVI,PO845419,SOC,Socialistes et apparentés,SOC,#F5B4CE,,11,Nord,sans profession,https://www.hatvp.fr/pages_nominatives/vicot-roger
PA794502,Taverne,Michaël,M.,MTE,PO845401,RN,Rassemblement National,RN,#313567,,12,Nord,Policier et militaire,https://www.hatvp.fr/pages_nominatives/taverne-michael-24234
PA794518,Marle,Pierre,M.,PML,PO845470,HOR,Horizons & Indépendants,HOR,#B5E2F9,,14,Nord,Directeur d'école primaire (retraité),https://www.hatvp.fr/pages_nominatives/marle-pierre-28145
PA794530,Marchio,Matthieu,M.,MMA,PO845401,RN,Rassemblement National,RN,#313567,,16,Nord,Cadre administratif et commercial d'entreprise,https://www.hatvp.fr/pages_nominatives/marchio-matthieu-24230
PA794562,Ballard,Philippe,M.,PBA,PO845401,RN,Rassemblement National,RN,#313567,,2,Oise,Ancien journaliste,https://www.hatvp.fr/pages_nominatives/ballard-philippe-24271
PA794570,Sabatou,Alexandre,M.,ASA,PO845401,RN,Rassemblement National,RN,#313567,,3,Oise,Chef de projets SI,https://www.hatvp.fr/pages_nominatives/sabatou-alexandre-24164
PA794578,Ludmann,Véronique,Mme,VLU,PO845470,HOR,Horizons & Indépendants,HOR,#B5E2F9,,4,Oise,Directrice d'école,https://www.hatvp.fr/pages_nominatives/ludmann-veronique-30226
PA794582,Pfeffer,Kévin,M.,KPF,PO845401,RN,Rassemblement National,RN,#313567,,6,Moselle,Permanent politique,https://www.hatvp.fr/pages_nominatives/pfeffer-kevin-24162
PA794590,Loubet,Alexandre,M.,ALB,PO845401,RN,Rassemblement National,RN,#313567,,7,Moselle,Cadre d'entreprise,https://www.hatvp.fr/pages_nominatives/loubet-alexandre-24155
PA794598,Jacobelli,Laurent,M.,LJA,PO845401,RN,Rassemblement National,RN,#313567,,8,Moselle,"Profession de l'information, des arts et des spectacles",https://www.hatvp.fr/pages_nominatives/jacobelli-laurent-24167
PA794658,Fait,Philippe,M.,PFA,PO845470,HOR,Horizons & Indépendants,HOR,#B5E2F9,,4,Pas-de-Calais,"Professeur des écoles, instituteur et assimilé",https://www.hatvp.fr/pages_nominatives/fait-philippe-24277
PA794670,Parmentier,Caroline,Mme,CPA,PO845401,RN,Rassemblement National,RN,#313567,,9,Pas-de-Calais,Attachée de Presse,https://www.hatvp.fr/pages_nominatives/parmentier-caroline-24247
PA794678,Frappé,Thierry,M.,TFP,PO845401,RN,Rassemblement National,RN,#313567,,10,Pas-de-Calais,Profession libérale,https://www.hatvp.fr/pages_nominatives/frappe-thierry-24232
PA794686,Maximi,Marianne,Mme,MMX,PO845413,LFI-NFP,La France insoumise - Nouveau Front Populaire,LFI-NFP,#C00D0D,,1,Puy-de-Dôme,Profession intermédiaire de la santé et du travail social,https://www.hatvp.fr/pages_nominatives/maximi-marianne-24143
PA794702,Lingemann,Delphine,Mme,DLI,PO845454,DEM,Les Démocrates,Dem,#F07E26,,4,Puy-de-Dôme,Chef d'entreprise - Enseignante associée université,https://www.hatvp.fr/pages_nominatives/lingemann-delphine-24307
PA794710,Brugerolles,Julien,M.,JBRU,PO845514,GDR,Gauche Démocrate et Républicaine,GDR,#830E21,,5,Puy-de-Dôme,Collaborateur parlementaire,https://www.hatvp.fr/pages_nominatives/brugerolles-julien-28947
PA794718,Engrand,Christine,Mme,CEN,PO840056,NI,Non inscrit,NI,#8D949A,,6,Pas-de-Calais,Cadre administratif et commercial d'entreprise,https://www.hatvp.fr/pages_nominatives/engrand-christine-24281
PA794734,Guiniot,Michel,M.,MGI,PO845401,RN,Rassemblement National,RN,#313567,,6,Oise,Ancien cadre,https://www.hatvp.fr/pages_nominatives/guiniot-michel-24237
PA794750,Liger,Thierry,M.,TLI,PO845425,DR,Droite Républicaine,DR,#8CB0DC,,2,Orne,Chef d'entreprise,https://www.hatvp.fr/pages_nominatives/liger-thierry-22478
PA794762,Dogor-Such,Sandrine,Mme,SDO,PO845401,RN,Rassemblement National,RN,#313567,,3,Pyrénées-Orientales,Préparatrice en pharmacie,https://www.hatvp.fr/pages_nominatives/dogor-such-sandrine-24201
PA794770,Martinez,Michèle,Mme,MMR,PO845401,RN,Rassemblement National,RN,#313567,,4,Pyrénées-Orientales,Clerc d'huissier,https://www.hatvp.fr/pages_nominatives/martinez-michele-24163
PA794778,Regol,Sandra,Mme,SRE,PO845439,ECOS,Écologiste et Social,EcoS,#77AA79,,1,Bas-Rhin,(85) - Personne diverse sans activité professionnelle de moins de 60 ans (sauf r,https://www.hatvp.fr/pages_nominatives/regol-sandra-24199
PA794786,Fernandes,Emmanuel,M.,EFE,PO845413,LFI-NFP,La France insoumise - Nouveau Front Populaire,LFI-NFP,#C00D0D,,2,Bas-Rhin,Profession intermédiaire administrative et commerciale des entreprises,https://www.hatvp.fr/pages_nominatives/fernandes-emmanuel-24316
PA794798,Buffet,Françoise,Mme,FBF,PO845407,EPR,Ensemble pour la République,EPR,#7B4591,,4,Bas-Rhin,"Ancien artisan, commerçant, chef d'entreprise",https://www.hatvp.fr/pages_nominatives/buffet-francoise
PA794802,Sitzenstuhl,Charles,M.,CSI,PO845407,EPR,Ensemble pour la République,EPR,#7B4591,,5,Bas-Rhin,Cadre de la fonction publique,https://www.hatvp.fr/pages_nominatives/sitzenstuhl-charles
PA794810,Morel,Louise,Mme,LMO,PO845454,DEM,Les Démocrates,Dem,#F07E26,,6,Bas-Rhin,Cadre administratif et commercial d'entreprise,https://www.hatvp.fr/pages_nominatives/morel-louise-24139
PA794830,Ott,Hubert,M.,HOT,PO845454,DEM,Les Démocrates,Dem,#F07E26,,2,Haut-Rhin,"Professeur, profession scientifique",https://www.hatvp.fr/pages_nominatives/ott-hubert-24311
PA794838,Lemaire,Didier,M.,DLE,PO845470,HOR,Horizons & Indépendants,HOR,#B5E2F9,,3,Haut-Rhin,Employé civil et agent de service de la fonction publique,https://www.hatvp.fr/pages_nominatives/lemaire-didier-24312
PA794854,Echaniz,Iñaki,M.,IEC,PO845419,SOC,Socialistes et apparentés,SOC,#F5B4CE,,4,Pyrénées-Atlantiques,Cadre de la fonction publique,https://www.hatvp.fr/pages_nominatives/echaniz-iñaki-24343
PA794870,Ferrer,Sylvie,Mme,SFR,PO845413,LFI-NFP,La France insoumise - Nouveau Front Populaire,LFI-NFP,#C00D0D,,1,Hautes-Pyrénées,(85) - Personne diverse sans activité professionnelle de moins de 60 ans (sauf r,https://www.hatvp.fr/pages_nominatives/ferrer-sylvie-24213
PA794886,Blanc,Sophie,Mme,SBL,PO845401,RN,Rassemblement National,RN,#313567,,1,Pyrénées-Orientales,Profession libérale,https://www.hatvp.fr/pages_nominatives/blanc-sophie-19142
PA794894,Sabatini,Anaïs,Mme,ASB,PO845401,RN,Rassemblement National,RN,#313567,,2,Pyrénées-Orientales,Avocate,https://www.hatvp.fr/pages_nominatives/sabatini-anais-19137
PA794906,Amard,Gabriel,M.,GAA,PO845413,LFI-NFP,La France insoumise - Nouveau Front Populaire,LFI-NFP,#C00D0D,,6,Rhône,Cadre administratif et commercial d'entreprise,https://www.hatvp.fr/pages_nominatives/amard-gabriel-516
PA794938,Boumertit,Idir,M.,IBU,PO845413,LFI-NFP,La France insoumise - Nouveau Front Populaire,LFI-NFP,#C00D0D,,14,Rhône,Employé administratif d'entreprise,https://www.hatvp.fr/pages_nominatives/boumertit-idir-24344
PA794946,Villedieu,Antoine,M.,ANV,PO845401,RN,Rassemblement National,RN,#313567,,1,Haute-Saône,Policier,https://www.hatvp.fr/pages_nominatives/villedieu-antoine-24226
PA794954,Salmon,Emeric,M.,ESL,PO845401,RN,Rassemblement National,RN,#313567,,2,Haute-Saône,Cadre administratif et commercial d'entreprise,https://www.hatvp.fr/pages_nominatives/salmon-emeric-24315
PA794982,Delpech,Julie,Mme,JDE,PO845407,EPR,Ensemble pour la République,EPR,#7B4591,,1,Sarthe,Chargée de communication,https://www.hatvp.fr/pages_nominatives/delpech-julie-24335
PA794994,Portier,Alexandre,M.,APO,PO845425,DR,Droite Républicaine,DR,#8CB0DC,,9,Rhône,Professeur de philosophie,https://www.hatvp.fr/pages_nominatives/portier-alexandre-24157
PA795010,Garin,Marie-Charlotte,Mme,MGA,PO845439,ECOS,Écologiste et Social,EcoS,#77AA79,,3,Rhône,Collaboratrice politique en collectivité locale,https://www.hatvp.fr/pages_nominatives/garin-marie-charlotte-24147
PA795026,Violland,Anne-Cécile,Mme,AVI,PO845470,HOR,Horizons & Indépendants,HOR,#B5E2F9,,5,Haute-Savoie,Profession libérale,https://www.hatvp.fr/pages_nominatives/violland-anne-cecile-24285
PA795046,Yadan,Caroline,Mme,CYA,PO845407,EPR,Ensemble pour la République,EPR,#7B4591,,8,Français établis hors de France,Avocat,https://www.hatvp.fr/pages_nominatives/yadan-caroline-24503
PA795050,Panosyan-Bouvet,Astrid,Mme,APA,PO845407,EPR,Ensemble pour la République,EPR,#7B4591,,4,Paris,Cadre administratif et commercial d'entreprise,https://www.hatvp.fr/pages_nominatives/panosyan-bouvet-astrid
PA795076,Rousseau,Sandrine,Mme,SRO,PO845439,ECOS,Écologiste et Social,EcoS,#77AA79,,9,Paris,"Professeur, profession scientifique",https://www.hatvp.fr/pages_nominatives/rousseau-sandrine-24202
