acteur_id,nom,prenom,groupe_code,groupe_libelle_court,yes_no_votes_with_group_majority,votes_with_group,votes_against_group,group_loyalty_rate
PA795920,Thevenot,Prisca,RE,RE,1119,1118,1,0.9991063449508489
PA795926,Pellerin,Emmanuel,RE,RE,2631,2579,52,0.9802356518434056
PA795934,Guichard,Claire,NI,NI,30,29,1,0.9666666666666667
PA795934,Guichard,Claire,RE,RE,2627,2607,20,0.9923867529501332
PA795950,Amiel,David,RE,RE,1590,1586,4,0.9974842767295597
PA795958,Haddad,Benjamin,RE,RE,1162,1156,6,0.9948364888123924
PA795966,Rambaud,Stéphane,RN,RN,844,827,17,0.9798578199052133
PA795974,Lottiaux,Philippe,RN,RN,1710,1700,10,0.9941520467836257
PA795982,Saintoul,Aurélien,LFI-NUPES,LFI - NUPES,1134,1132,2,0.9982363315696648
PA795990,Bregeon,Maud,RE,RE,757,752,5,0.9933949801849405
PA795998,K/Bidi,Émeline,GDR-NUPES,GDR - NUPES,657,645,12,0.9817351598173516
PA796010,Maillot,Frédéric,GDR-NUPES,GDR - NUPES,418,416,2,0.9952153110047847
PA796018,Simonnet,Danielle,LFI-NUPES,LFI - NUPES,1129,1124,5,0.995571302037201
PA796026,Lechanteux,Julie,RN,RN,1124,1121,3,0.9973309608540926
PA796034,Giletti,Frank,RN,RN,1018,1009,9,0.9911591355599214
PA796042,Boccaletti,Frédéric,RN,RN,1850,1843,7,0.9962162162162163
PA796050,Schreck,Philippe,RN,RN,1009,1002,7,0.9930624380574826
PA796062,Portes,Thomas,LFI-NUPES,LFI - NUPES,930,929,1,0.9989247311827957
PA796070,Gaillard,Perceval,LFI-NUPES,LFI - NUPES,576,574,2,0.9965277777777778
PA796078,Youssouffa,Estelle,LIOT,LIOT,225,216,9,0.96
PA796090,Caron,Aymeric,LFI-NUPES,LFI - NUPES,536,533,3,0.9944029850746269
PA796106,Bénard,Édouard,GDR-NUPES,GDR - NUPES,96,95,1,0.9895833333333334
PA796110,Hébrard,Joris,RN,RN,280,280,0,1
PA796114,Jaouen,Catherine,NI,NI,1,1,0,1
PA796114,Jaouen,Catherine,RN,RN,125,124,1,0.992
PA796118,Auzanot,Bénédicte,RN,RN,846,840,6,0.9929078014184397
PA796132,Garrido,Raquel,LFI-NUPES,LFI - NUPES,632,631,1,0.9984177215189873
PA805166,Bergantz,Anne,DEM,Dem,1539,1525,14,0.99090318388564
PA817203,Miller,Laure,RE,RE,824,821,3,0.9963592233009708
PA817211,Pilato,René,LFI-NUPES,LFI - NUPES,1067,1058,9,0.9915651358950328
PA822617,Froger,Martine,LIOT,LIOT,296,286,10,0.9662162162162162
PA822617,Froger,Martine,NI,NI,17,17,0,1
PA827894,Aeschlimann,Marie-Do,UMPPO,Les Républicains,1,1,0,1
PA827896,Antoine,Jocelyne,UCPOL,UC,1,1,0,1
PA827898,Barros,Pierre,CRCPO,CRCE-K,1,1,0,1
PA827900,Bélim,Audrey,SOCPO,SER,1,1,0,1
PA827902,Bitz,Olivier,LREMP,RDPI,1,1,0,1
PA827904,Blanc,Grégory,GESTP,GEST,1,1,0,1
PA827906,Bleunven,Yves,UCPOL,UC,1,1,0,1
PA827908,Bourcier,Corinne,RTLIP,Les Indépendants,1,1,0,1
PA827910,Brault,Jean-Luc,RTLIP,Les Indépendants,1,1,0,1
PA827912,Brossat,Ian,CRCPO,CRCE-K,1,1,0,1
PA827914,Bruyen,Christian,UMPPO,Les Républicains,1,1,0,1
PA827916,Buval,Frédéric,LREMP,RDPI,1,1,0,1
PA827918,Cambier,Guislain,UCPOL,UC,1,1,0,1
PA827920,Canalès,Marion,SOCPO,SER,1,1,0,1
